"","track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"192","0bI7K9Becu2dtXK1Q3cZNB","Don't Be Shy","Tiësto",72,"2TvfE8CY37OQIPVGcWYpEA","Don't Be Shy","2021-08-12","Pop Rising","37i9dQZF1DWUa8ZRTfalHk","music","pop",0.77,0.787,11,-3.748,0,0.0583,0.198,0,0.262,0.513,119.986,140500
"149","4uOB38YHMECrfSCQA3Jiud","Crazy While We're Young - Friendzone Remix","Crystal Skies",45,"21q6hILOPD7gmLBQgfiyzd","Crazy While We're Young - Friendzone Remix","2021-05-27","Pop Hits 2021","5TDtuKDbOhrfW7C58XnriZ","music","pop",0.608,0.689,0,-6.121,1,0.0436,0.154,2.45e-05,0.181,0.241,108.079,148056
"460","2g2a5kDeZexbUTD8abcvm6","Lifestyles of the Rich & Famous","Good Charlotte",69,"5CTygC3aONv7l0klY4k3hc","The Young and The Hopeless","2002-10-04","Pop Punk Powerhouses","37i9dQZF1DXa9wYJr1oMFq","music","pop",0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,190173
"406","2oUwzk2gCthJBnZDkowV8S","Pray","Rex Evans",33,"5OZRCNshUJNlmRLY9NJD4Q","Dissonant","2021-03-19","PoP","5FaXjpzV6zj0L0CJHyhk2r","music","pop",0.701,0.626,2,-12.604,1,0.134,0.0437,1.14e-05,0.113,0.326,89.978,160000
"370","4NoM07yO0Luyv3OpeTwlyW","HEY NEIGHBOR!","poutyface",33,"65LLY7w9onclS0LDO6uxc7","POUTY PACK 1.0","2021-07-30","PoP","5FaXjpzV6zj0L0CJHyhk2r","music","pop",0.525,0.748,4,-7.569,0,0.0894,0.000453,0.0962,0.311,0.853,164.928,145000
"71","0MMyJUC3WNnFS1lit5pTjk","jealousy, jealousy","Olivia Rodrigo",90,"6s84u2TUpR3wdUv4NgKA2j","SOUR","2021-05-21","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.695,0.575,10,-6.334,0,0.116,0.198,0,0.0614,0.699,163.929,173160
"378","6ucDvJTROj98DF8iYDn5kc","Desperate Times","Brooke Williams",32,"0JWa2e0CGckkFsA8FFm5UT","Desperate Times","2021-06-17","PoP","5FaXjpzV6zj0L0CJHyhk2r","music","pop",0.646,0.683,11,-8.236,0,0.0407,0.112,0.000303,0.0776,0.189,94.966,200936
"253","4E6cwWJWZw2zWf7VFbH7wf","Love Song","Sara Bareilles",73,"2Z9WUERfMjOgQ6ze9TcGbF","Little Voice","2007-07-03","Pop Hits 2000s - 2021","6mtYuOxzl58vSGnEDtZ9uB","music","pop",0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,258827
"81","67BtfxlNbhBmCDR2L2l8qd","MONTERO (Call Me By Your Name)","Lil Nas X",97,"2Hjcfw8zHN4dJDZJGOzLd6","MONTERO (Call Me By Your Name)","2021-03-31","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,137876
"419","1yfind4FPAb6wyUQykXufg","Flowin'","Fat$tax",27,"3OSamTkLv6sQOVho6WQV1t","Love Lies Money Buys","2021-01-01","PoP","5FaXjpzV6zj0L0CJHyhk2r","music","pop",0.77,0.415,8,-11.017,1,0.117,0.905,0,0.122,0.395,109.961,194182
"471","1iZTuY3wspO4DxFXBD58WX","Dammit","blink-182",0,"2ghxwONTYbBQNxkROvij6C","Greatest Hits (Explicit Version)","2005-11-01","Pop Punk Powerhouses","37i9dQZF1DXa9wYJr1oMFq","music","pop",0.384,0.981,0,-4.209,1,0.0872,2.54e-05,1.9e-05,0.106,0.307,109.052,166267
